TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0820-3921,179.4,,0.1
7e-07,J0820-4114,113.4,7.09e-05,0.2
,J0821-4221,270.6,,0.1
,J0821-4300,,,
,J0823+0159,23.727,2.88e-08,0.006
,J0824+0028,34.5485,,0.0006
1e-08,J0826+2637,19.47633,2.1e-08,0.00018
,J0827+53,23.103,,0.001
,J0828-3417,51.6,,0.5
,J0831-4406,254.0,,0.5
,J0834-4159,240.5,,1.5
,J0834-60,20.0,,6.0
,J0835-3707,112.4,,0.14
2.1e-07,J0835-4510,67.771,3.955e-05,0.009
,J0836-4233,180.0,,
,J0837+0610,12.864,4.3e-09,0.0004
,J0837-24,142.8,,0.5
7e-08,J0837-4135,147.2,1.455e-05,0.01
,J0838-2621,116.9,,0.05
,J0838-3947,219.0,,11.0
,J0839-66,83.0,,
8e-07,J0840-5332,156.5,0.0006517,1.0
7e-06,J0842-4851,196.85,3.6e-05,0.08
,J0843+0719,36.6,,0.3
,J0843+67,20.7,,
,J0843-5022,178.47,,0.09
7e-06,J0846-3533,94.16,3.6e-05,0.11
,J0847-4316,292.5,,0.9
,J0848+16,38.0,,
,J0849+8028,34.8121,,0.0031
,J0849-6322,91.29,,0.09
,J0854+5449,18.8368,,0.0015
2.2e-06,J0855-3331,86.635,4.89e-05,0.016
,J0855-4644,236.4,,0.1
,J0855-4658,472.7,,1.2
,J0856-6137,95.0,,3.0
,J0857+3349,23.998,,0.003
2.2e-05,J0857-4424,184.429,0.000116,0.004
,J0900-3144,75.6862,,0.0007
,J0901-4624,199.3,,0.2
,J0902-6325,72.72,,0.06
7e-06,J0904-4246,145.8,8e-05,0.5
,J0904-7459,51.1,,1.6
1.5e-05,J0905-4536,196.2,0.000131,0.3
4e-08,J0905-5127,196.432,4.574e-05,0.004
,J0905-6019,91.4,,0.4
6e-08,J0907-5157,103.72,1.143e-05,
,J0908-1739,15.879,2.04e-08,0.002
7e-06,J0908-4913,180.44,5.1e-05,
,J0909-7212,54.3,,1.6
,J0910+77,,,
,J0912-3851,71.5,,0.4
,J0919-42,57.8,,
,J0919-6040,82.5,,0.3
,J0921+6254,13.15423,,0.00018
,J0921-5202,122.71,,0.003
5e-08,J0922+0638,27.2986,9.4e-08,0.0005
,J0922-4949,237.1,,0.3
,J0923-31,72.0,,20.0
5e-08,J0924-5302,152.9,1.143e-05,0.5
3e-07,J0924-5814,57.4,0.0006289,0.3
,J0927+2345,17.24,,0.12
,J0928+06,49.8,,0.5
,J0928+30,21.95,,0.09
,J0930-2301,78.3,,0.5
,J0931-1902,41.49,,0.0005
,J0932-3217,102.1,,0.5
,J0932-5327,118.56,,0.13
,J0934-4154,113.79,,0.16
7e-08,J0934-5249,100.0,8.004e-05,2.0
,J0935+33,18.35,,0.06
,J0940-5428,134.55,,0.03
,J0941-39,78.2,,2.7
,J0941-5244,157.94,,0.01
1.5e-07,J0942-5552,180.16,5.717e-05,0.02
,J0942-5657,159.74,,0.12
,J0943+1631,20.3402,,0.0018
,J0943+2253,27.2508,,0.0015
,J0944+4106,21.41,,0.03
,J0944-1354,12.497,,0.003
,J0945-4833,98.1,,0.3
6.9e-08,J0946+0951,15.31845,1.01e-07,0.0009
,J0947+2740,29.09,,0.07
,J0949-6902,93.0,,0.1
,J0951-71,77.0,,
,J0952-0607,22.411533,,1.1e-05
2.9e-06,J0952-3839,162.88,8.04e-05,0.11
2e-10,J0953+0755,2.96927,3e-10,8e-05
,J0954-5430,201.57,,0.05
5e-08,J0955-5304,156.9,3.43e-05,0.2
,J0955-6150,160.8997,,0.0002
