I;NAME;RAJD;DECJD;DM;RM;
1334;B1949+14;298.02564690;14.12482869;31.51;-11.50;
1335;J1952+2630;298.15350097;26.50780119;315.32;-145.79;
1336;B1951+32;298.24252500;32.87791944;45.01;-182.00;
1337;B1952+29;298.59397500;29.38813611;7.93;-16.00;
1338;B1953+29;298.86614693;29.14539814;104.49;15.30;
1339;B1953+50;298.82818208;50.99869222;31.98;-23.84;
1340;J1956+0838;299.21775000;8.63800000;67.09;-113.50;
1341;J1957+2831;299.33082176;28.52884511;138.99;-43.70;
1342;B1957+20;299.90320783;20.80420061;29.11;-68.40;
1343;J2001-0349;300.47212500;-3.82875000;67.00;-79.00;
1344;J2001+0701;300.46232900;7.02767917;63.31;-108.70;
1345;J2002+1637;300.69904167;16.62130556;94.58;-41.30;
1346;B2000+32;300.51843645;32.28841961;142.21;-90.20;
1347;B2000+40;300.68346020;40.84830733;131.49;145.00;
1348;B2002+31;301.21785974;31.61944754;234.82;31.50;
1349;J2005-0020;301.43229006;-0.33942877;35.93;-64.90;
1350;B2003-08;301.56818750;-8.11726861;32.39;-62.00;
1351;J2007+0809;301.80625000;8.15916667;53.39;-133.30;
1352;J2007+0910;301.99209625;9.17025833;48.73;-77.80;
1353;J2007+2722;301.81595333;27.37997611;126.78;-231.82;
1354;J2008+2513;302.14784167;25.22510000;60.56;-116.60;
1355;J2010-1323;302.69133928;-13.39891535;22.16;-2.91;
1356;J2010+2845;302.52111667;28.75810278;112.47;-233.00;
1357;J2010+3051;302.51647583;30.85524778;133.76;-64.00;
1358;J2011+3331;302.77052500;33.52351111;298.58;235.60;
1359;J2013+3058;303.39272083;30.98074722;148.70;-145.00;
1360;B2011+38;303.29319583;38.76203056;238.22;78.00;
1361;J2015+0756;303.99831446;7.94334761;36.44;-72.30;
1362;J2016+1948;304.23934788;19.79766339;33.81;-121.00;
1363;J2017+0603;304.34460510;6.05154554;23.92;-59.00;
1364;J2017+2043;304.37057500;20.72552778;60.49;-163.60;
1365;J2017+5906;304.43566243;59.11304758;60.28;33.00;
1366;B2016+28;304.51597208;28.66505889;14.20;-34.90;
1367;J2019+2425;304.88312083;24.42091772;17.20;-67.60;
1368;J2021+3651;305.27275000;36.85133333;367.50;524.00;
1369;B2020+28;305.65444625;28.90641778;24.63;-75.04;
1370;J2022+3842;305.59037083;38.70411667;429.10;270.00;
1371;B2021+51;305.70780417;51.91395361;22.55;-6.73;
1372;B2022+50;305.92476143;50.62634931;32.99;44.84;
1373;J2027+0255;306.87861625;2.92721722;51.13;-115.70;
1374;B2025+21;306.81954167;21.76789722;97.09;-210.00;
1375;J2027+4557;306.81763750;45.96585556;229.59;337.00;
1376;B2027+37;307.34946892;37.73560148;190.66;-6.00;
1377;B2028+22;307.66852513;22.47272933;71.86;-192.00;
1378;J2030+3641;307.50108750;36.69087500;246.00;514.00;
1379;J2032+4127;308.05466250;41.45675278;114.67;215.00;
1380;J2033+0042;308.37966667;0.70669444;37.84;-71.20;
1381;J2033+1734;308.36463130;17.58290638;25.09;-71.51;
1382;J2033-1938;308.48083333;-19.64972222;23.47;-17.70;
